station_pair,route_short_name,Direction,duration,length,duration_seconds,av_speed_kmh
Bondi Junction Station - Edgecliff Station,T4,Inbound,0 days 00:03:00,1915.9,180,38.318
Edgecliff Station - Kings Cross Station,T4,Inbound,0 days 00:03:00,1492.02,180,29.8404
Kings Cross Station - Martin Place Station,T4,Inbound,0 days 00:02:00,1218.4,120,36.552
Sydenham Station - Tempe Station,T4,Outbound,0 days 00:03:00,1481.81,180,29.6362
Tempe Station - Wolli Creek Station,T4,Outbound,0 days 00:01:00,515.78,60,30.9468
Wolli Creek Station - Arncliffe Station,T4,Outbound,0 days 00:03:00,1138.26,180,22.7652
Arncliffe Station - Banksia Station,T4,Outbound,0 days 00:02:00,1149.62,120,34.4886
Banksia Station - Rockdale Station,T4,Outbound,0 days 00:02:00,854.73,120,25.6419
Rockdale Station - Kogarah Station,T4,Outbound,0 days 00:02:00,1248.61,120,37.4583
Kogarah Station - Carlton Station,T4,Outbound,0 days 00:02:00,1053.71,120,31.6113
Carlton Station - Allawah Station,T4,Outbound,0 days 00:02:00,954.27,120,28.6281
Allawah Station - Hurstville Station,T4,Outbound,0 days 00:03:00,1107.24,180,22.1448
Sutherland Station - Helensburgh Station,SCO,Outbound,0 days 00:22:00,21784.84,1320,59.4132
Helensburgh Station - Stanwell Park Station,SCO,Outbound,0 days 00:11:00,9582.47,660,52.26801818
Stanwell Park Station - Austinmer Station,SCO,Outbound,0 days 00:13:00,12648.74,780,58.3788
Thirroul Station - North Wollongong Station,SCO,Outbound,0 days 00:09:00,11080.42,540,73.86946667
Helensburgh Station - Thirroul Station,SCO,Outbound,0 days 00:24:00,23845.63,1440,59.614075
Hurlstone Park Station - Sydenham Station,T3,Inbound,0 days 00:05:00,3430.65,300,41.1678
Waterfall Station - Sutherland Station,SCO,Inbound,0 days 00:10:00,14166.39,600,84.99834
Jannali Station - Oatley Station,SCO,Inbound,0 days 00:06:00,4482.36,360,44.8236
Oatley Station - Mortdale Station,SCO,Inbound,0 days 00:02:00,1121.68,120,33.6504
North Wollongong Station - Thirroul Station,SCO,Inbound,0 days 00:09:00,11081.9,540,73.87933333
Thirroul Station - Helensburgh Station,SCO,Inbound,0 days 00:24:00,23842.24,1440,59.6056
Helensburgh Station - Sutherland Station,SCO,Inbound,0 days 00:19:00,21784.32,1140,68.79258947
Sutherland Station - Hurstville Station,SCO,Inbound,0 days 00:11:00,9812.18,660,53.52098182
Hurstville Station - Oatley Station,T4,Outbound,0 days 00:04:00,3399.97,240,50.99955
Oatley Station - Como Station,T4,Outbound,0 days 00:03:00,3054.44,180,61.0888
Como Station - Jannali Station,T4,Outbound,0 days 00:03:00,1431.59,180,28.6318
Jannali Station - Sutherland Station,T4,Outbound,0 days 00:04:00,1929.32,240,28.9398
Sutherland Station - Loftus Station,T4,Outbound,0 days 00:02:00,1641.75,120,49.2525
Loftus Station - Engadine Station,T4,Outbound,0 days 00:05:00,4482.38,300,53.78856
Engadine Station - Heathcote Station,T4,Outbound,0 days 00:03:00,2382.33,180,47.6466
Heathcote Station - Waterfall Station,T4,Outbound,0 days 00:05:00,5652.24,300,67.82688
Wollongong Station - Coniston Station,SCO,Outbound,0 days 00:02:00,1240.93,120,37.2279
Coniston Station - Lysaghts Station,SCO,Outbound,0 days 00:03:00,2079.2,180,41.584
Lysaghts Station - Cringila Station,SCO,Outbound,0 days 00:02:00,1430.3,120,42.909
Cringila Station - Port Kembla North Station,SCO,Outbound,0 days 00:02:00,1053.32,120,31.5996
Port Kembla North Station - Port Kembla Station,SCO,Outbound,0 days 00:03:00,1592.06,180,31.8412
Redfern Station - Petersham Station,T2,Outbound,0 days 00:06:00,4212.07,360,42.1207
Sutherland Station - Mortdale Station,T4,Inbound,0 days 00:07:00,7529.22,420,64.53617143
Hurstville Station - Allawah Station,T4,Inbound,0 days 00:02:00,1112.7,120,33.381
Allawah Station - Carlton Station,T4,Outbound,0 days 00:02:00,956.08,120,28.6824
Carlton Station - Kogarah Station,T4,Inbound,0 days 00:02:00,1059.08,120,31.7724
Kogarah Station - Rockdale Station,T4,Inbound,0 days 00:02:00,1246.52,120,37.3956
Rockdale Station - Banksia Station,T4,Inbound,0 days 00:02:00,855.11,120,25.6533
Banksia Station - Arncliffe Station,T4,Inbound,0 days 00:02:00,1149.53,120,34.4859
Arncliffe Station - Wolli Creek Station,T4,Inbound,0 days 00:03:00,1135.51,180,22.7102
Wolli Creek Station - Tempe Station,T4,Inbound,0 days 00:01:00,512.52,60,30.7512
Tempe Station - Sydenham Station,T4,Inbound,0 days 00:03:00,1484.93,180,29.6986
Sefton Station - Regents Park Station,T3,Inbound,0 days 00:03:00,1294.57,180,25.8914
Kiama Station - Bombo Station,SCO,Inbound,0 days 00:03:00,1616.78,180,32.3356
Bombo Station - Minnamurra Station,SCO,Inbound,0 days 00:04:00,4157.17,240,62.35755
Minnamurra Station - Shellharbour Junction Station,SCO,Inbound,0 days 00:06:00,4436.01,360,44.3601
Shellharbour Junction Station - Oak Flats Station,SCO,Inbound,0 days 00:04:00,3436.21,240,51.54315
Oak Flats Station - Albion Park Station,SCO,Inbound,0 days 00:03:00,2243.67,180,44.8734
Albion Park Station - Dapto Station,SCO,Inbound,0 days 00:07:00,8284.54,420,71.01034286
Dapto Station - Unanderra Station,SCO,Inbound,0 days 00:06:00,6738.38,360,67.3838
Unanderra Station - Coniston Station,SCO,Inbound,0 days 00:05:00,4166.6,300,49.9992
Austinmer Station - Helensburgh Station,SCO,Inbound,0 days 00:24:00,22246.35,1440,55.615875
Sydenham Station - Wolli Creek Station,T4,Outbound,0 days 00:03:00,1997.59,180,39.9518
Wolli Creek Station - Rockdale Station,T4,Outbound,0 days 00:04:00,3141.22,240,47.1183
Kogarah Station - Hurstville Station,T4,Outbound,0 days 00:04:00,3139.42,240,47.0913
Hurstville Station - Penshurst Station,T4,Outbound,0 days 00:02:00,1338.4,120,40.152
Penshurst Station - Mortdale Station,T4,Outbound,0 days 00:02:00,936.79,120,28.1037
Mortdale Station - Sutherland Station,T4,Outbound,0 days 00:09:00,7537.57,540,50.25046667
Coniston Station - Unanderra Station,SCO,Outbound,0 days 00:06:00,4166.32,360,41.6632
Unanderra Station - Dapto Station,SCO,Outbound,0 days 00:05:00,6738.42,300,80.86104
Dapto Station - Albion Park Station,SCO,Outbound,0 days 00:15:00,8320.86,900,33.28344
Albion Park Station - Oak Flats Station,SCO,Outbound,0 days 00:03:00,2206.2,180,44.124
Oak Flats Station - Shellharbour Junction Station,SCO,Outbound,0 days 00:04:00,3435.27,240,51.52905
Shellharbour Junction Station - Minnamurra Station,SCO,Outbound,0 days 00:05:00,4437.2,300,53.2464
Minnamurra Station - Bombo Station,SCO,Outbound,0 days 00:05:00,4157.17,300,49.88604
Bombo Station - Kiama Station,SCO,Outbound,0 days 00:03:00,1620.36,180,32.4072
Helensburgh Station - Austinmer Station,SCO,Outbound,0 days 00:23:00,22239.67,1380,58.01653043
Regents Park Station - Sefton Station,T3,Outbound,0 days 00:02:00,1299.34,120,38.9802
Chester Hill Station - Cabramatta Station,T3,Outbound,0 days 00:06:00,6180.52,360,61.8052
Merrylands Station - Harris Park Station,T5,Inbound,0 days 00:04:00,2206.51,240,33.09765
Harris Park Station - Merrylands Station,T5,Outbound,0 days 00:04:00,2209,240,33.135
Hurstville Station - Kogarah Station,T4,Inbound,0 days 00:04:00,3127.86,240,46.9179
Rockdale Station - Wolli Creek Station,T4,Inbound,0 days 00:04:00,3140.15,240,47.10225
Oatley Station - Jannali Station,T4,Outbound,0 days 00:05:00,4486.03,300,53.83236
Sutherland Station - Kirrawee Station,T4,Outbound,0 days 00:03:00,2029.86,180,40.5972
Kirrawee Station - Gymea Station,T4,Outbound,0 days 00:02:00,1275.53,120,38.2659
Gymea Station - Miranda Station,T4,Outbound,0 days 00:02:00,1554.8,120,46.644
Miranda Station - Caringbah Station,T4,Outbound,0 days 00:03:00,1954.66,180,39.0932
Caringbah Station - Woolooware Station,T4,Outbound,0 days 00:03:00,2126.93,180,42.5386
Woolooware Station - Cronulla Station,T4,Outbound,0 days 00:02:00,1217.82,120,36.5346
Cronulla Station - Woolooware Station,T4,Inbound,0 days 00:02:00,1211.42,120,36.3426
Woolooware Station - Caringbah Station,T4,Inbound,0 days 00:03:00,2122.32,180,42.4464
Caringbah Station - Miranda Station,T4,Inbound,0 days 00:02:00,1956.12,120,58.6836
Miranda Station - Gymea Station,T4,Inbound,0 days 00:03:00,1554.56,180,31.0912
Gymea Station - Kirrawee Station,T4,Inbound,0 days 00:02:00,1273.73,120,38.2119
Kirrawee Station - Sutherland Station,T4,Inbound,0 days 00:04:00,2045.46,240,30.6819
Jannali Station - Como Station,T4,Inbound,0 days 00:03:00,1428.22,180,28.5644
Como Station - Oatley Station,T4,Inbound,0 days 00:04:00,3054.14,240,45.8121
Mortdale Station - Oatley Station,T4,Outbound,0 days 00:02:00,1123.22,120,33.6966
Penshurst Station - Oatley Station,T4,Outbound,0 days 00:03:00,2060.02,180,41.2004
Mortdale Station - Jannali Station,T4,Outbound,0 days 00:06:00,5609.25,360,56.0925
Mortdale Station - Como Station,T4,Outbound,0 days 00:04:00,4177.66,240,62.6649
Stanmore Station - Ashfield Station,T2,Inbound,0 days 00:05:00,3703.56,300,44.44272
Kiama Station - Gerringong Station,SCO,Outbound,0 days 00:08:00,9332.17,480,69.991275
Gerringong Station - Berry Station,SCO,Outbound,0 days 00:09:00,12332.23,540,82.21486667
Berry Station - Bomaderry Station,SCO,Outbound,0 days 00:10:00,12495.05,600,74.9703
Bomaderry Station - Berry Station,SCO,Inbound,0 days 00:09:00,12495.05,540,83.30033333
Berry Station - Gerringong Station,SCO,Inbound,0 days 00:09:00,12332.23,540,82.21486667
Gerringong Station - Kiama Station,SCO,Inbound,0 days 00:09:00,9332.17,540,62.21446667
Lidcombe Station - Olympic Park Station,T7,Outbound,0 days 00:05:00,3320.98,300,39.85176
Olympic Park Station - Lidcombe Station,T7,Inbound,0 days 00:06:00,7042.14,360,70.4214
Woy Woy Station - Asquith Station,CCN,Inbound,0 days 00:33:00,36921.48,1980,67.12996364
Strathfield Station - Woy Woy Station,CCN,Outbound,0 days 00:59:00,60803.54,3540,61.83410847
Moss Vale Station - Burradoo Station,SHL,Inbound,0 days 00:05:00,6813.8,300,81.7656
Burradoo Station - Bowral Station,SHL,Inbound,0 days 00:03:00,2528.94,180,50.5788
Bowral Station - Mittagong Station,SHL,Inbound,0 days 00:04:00,4840.46,240,72.6069
Mittagong Station - Yerrinbool Station,SHL,Inbound,0 days 00:12:00,15196.31,720,75.98155
Yerrinbool Station - Bargo Station,SHL,Inbound,0 days 00:11:00,13478.03,660,73.51652727
Bargo Station - Tahmoor Station,SHL,Inbound,0 days 00:07:00,8375.84,420,71.79291429
Tahmoor Station - Picton Station,SHL,Inbound,0 days 00:09:00,9610.67,540,64.07113333
Picton Station - Douglas Park Station,SHL,Inbound,0 days 00:10:00,11949.52,600,71.69712
Douglas Park Station - Menangle Station,SHL,Inbound,0 days 00:06:00,7948.03,360,79.4803
Menangle Station - Menangle Park Station,SHL,Inbound,0 days 00:03:00,2471.78,180,49.4356
Menangle Park Station - Macarthur Station,SHL,Inbound,0 days 00:07:00,6340.12,420,54.34388571
Moss Vale Station - Exeter Station,SHL,Outbound,0 days 00:08:00,10166.98,480,76.25235
Exeter Station - Bundanoon Station,SHL,Outbound,0 days 00:05:00,6367.71,300,76.41252
Bundanoon Station - Penrose Station,SHL,Outbound,0 days 00:07:00,9161.43,420,78.52654286
Penrose Station - Wingello Station,SHL,Outbound,0 days 00:05:00,5759.38,300,69.11256
Wingello Station - Tallong Station,SHL,Outbound,0 days 00:06:00,8264.28,360,82.6428
Tallong Station - Marulan Station,SHL,Outbound,0 days 00:06:00,7534.36,360,75.3436
Marulan Station - Goulburn Station,SHL,Outbound,0 days 00:20:00,31900.99,1200,95.70297
Macarthur Station - Menangle Park Station,SHL,Outbound,0 days 00:05:00,6320.16,300,75.84192
Menangle Park Station - Menangle Station,SHL,Outbound,0 days 00:03:00,2482.28,180,49.6456
Menangle Station - Douglas Park Station,SHL,Outbound,0 days 00:07:00,7951.14,420,68.15262857
Douglas Park Station - Picton Station,SHL,Outbound,0 days 00:09:00,11943.45,540,79.623
Picton Station - Tahmoor Station,SHL,Outbound,0 days 00:09:00,9610.65,540,64.071
Tahmoor Station - Bargo Station,SHL,Outbound,0 days 00:07:00,8371.14,420,71.75262857
Bargo Station - Yerrinbool Station,SHL,Outbound,0 days 00:11:00,13484.08,660,73.54952727
Yerrinbool Station - Mittagong Station,SHL,Outbound,0 days 00:13:00,15200.83,780,70.15767692
Mittagong Station - Bowral Station,SHL,Outbound,0 days 00:05:00,4815.23,300,57.78276
Bowral Station - Burradoo Station,SHL,Outbound,0 days 00:03:00,2552.3,180,51.046
Burradoo Station - Moss Vale Station,SHL,Outbound,0 days 00:05:00,6827.48,300,81.92976
Goulburn Station - Marulan Station,SHL,Inbound,0 days 00:18:00,31956.32,1080,106.5210667
Marulan Station - Tallong Station,SHL,Inbound,0 days 00:06:00,7480.89,360,74.8089
Tallong Station - Wingello Station,SHL,Inbound,0 days 00:07:00,8278.03,420,70.95454286
Wingello Station - Penrose Station,SHL,Inbound,0 days 00:05:00,5761.15,300,69.1338
Penrose Station - Bundanoon Station,SHL,Inbound,0 days 00:07:00,9187.51,420,78.75008571
Bundanoon Station - Exeter Station,SHL,Inbound,0 days 00:06:00,6359.34,360,63.5934
Exeter Station - Moss Vale Station,SHL,Inbound,0 days 00:08:00,10170.43,480,76.278225
Moss Vale Station - Bowral Station,SHL,Inbound,0 days 00:08:00,9342.73,480,70.070475
Mittagong Station - Tahmoor Station,SHL,Inbound,0 days 00:27:00,37050.17,1620,82.33371111
Picton Station - Macarthur Station,SHL,Inbound,0 days 00:20:00,28704.05,1200,86.11215
Campbelltown Station - Glenfield Station,SHL,Inbound,0 days 00:10:00,12711.66,600,76.26996
Glenfield Station - Central Station,SHL,Inbound,0 days 00:39:00,32926.04,2340,50.65544615
Central Station - Glenfield Station,SHL,Outbound,0 days 00:31:00,32913.61,1860,63.70376129
Glenfield Station - Campbelltown Station,SHL,Outbound,0 days 00:15:00,12717.74,900,50.87096
Hamilton Station - Waratah Station,HUN,Outbound,0 days 00:04:00,2429.21,240,36.43815
Waratah Station - Warabrook Station,HUN,Outbound,0 days 00:04:00,2621.5,240,39.3225
Warabrook Station - Sandgate Station,HUN,Outbound,0 days 00:02:00,1798.82,120,53.9646
Sandgate Station - Hexham Station,HUN,Outbound,0 days 00:05:00,5127.53,300,61.53036
Hexham Station - Tarro Station,HUN,Outbound,0 days 00:03:00,2642.41,180,52.8482
Tarro Station - Beresfield Station,HUN,Outbound,0 days 00:02:00,1530.79,120,45.9237
Beresfield Station - Thornton Station,HUN,Outbound,0 days 00:03:00,2434.5,180,48.69
Thornton Station - Metford Station,HUN,Outbound,0 days 00:03:00,2895.82,180,57.9164
Metford Station - Victoria Street Station,HUN,Outbound,0 days 00:03:00,2844.5,180,56.89
Victoria Street Station - East Maitland Station,HUN,Outbound,0 days 00:02:00,934,120,28.02
East Maitland Station - High Street Station,HUN,Outbound,0 days 00:03:00,2492.59,180,49.8518
High Street Station - Maitland Station,HUN,Outbound,0 days 00:04:00,1189.32,240,17.8398
Maitland Station - Lochinvar Station,HUN,Outbound,0 days 00:08:00,9971.69,480,74.787675
Lochinvar Station - Greta Station,HUN,Outbound,0 days 00:06:00,8254.34,360,82.5434
Greta Station - Branxton Station,HUN,Outbound,0 days 00:04:00,4750.34,240,71.2551
Branxton Station - Singleton Station,HUN,Outbound,0 days 00:14:00,23318.41,840,99.93604286
Singleton Station - Muswellbrook Station,HUN,Outbound,0 days 00:32:00,49512.43,1920,92.83580625
Muswellbrook Station - Aberdeen Station,HUN,Outbound,0 days 00:09:00,12007.53,540,80.0502
Aberdeen Station - Scone Station,HUN,Outbound,0 days 00:10:00,13940.3,600,83.6418
Scone Station - Aberdeen Station,HUN,Inbound,0 days 00:08:00,13940.3,480,104.55225
Aberdeen Station - Muswellbrook Station,HUN,Inbound,0 days 00:09:00,12007.53,540,80.0502
Muswellbrook Station - Singleton Station,HUN,Inbound,0 days 00:31:00,49511.18,1860,95.82809032
Singleton Station - Branxton Station,HUN,Inbound,0 days 00:15:00,23315.83,900,93.26332
Branxton Station - Greta Station,HUN,Inbound,0 days 00:04:00,4789.87,240,71.84805
Greta Station - Lochinvar Station,HUN,Inbound,0 days 00:06:00,8247.81,360,82.4781
Lochinvar Station - Maitland Station,HUN,Inbound,0 days 00:08:00,9972.69,480,74.795175
Maitland Station - Victoria Street Station,HUN,Inbound,0 days 00:05:00,4616.05,300,55.3926
Victoria Street Station - Metford Station,HUN,Inbound,0 days 00:03:00,2843.92,180,56.8784
Metford Station - Thornton Station,HUN,Inbound,0 days 00:03:00,2896.69,180,57.9338
Thornton Station - Beresfield Station,HUN,Inbound,0 days 00:03:00,2436.49,180,48.7298
Beresfield Station - Warabrook Station,HUN,Inbound,0 days 00:08:00,11100.6,480,83.2545
Warabrook Station - Waratah Station,HUN,Inbound,0 days 00:03:00,2620.01,180,52.4002
Waratah Station - Hamilton Station,HUN,Inbound,0 days 00:03:00,2405.61,180,48.1122
Warabrook Station - Beresfield Station,HUN,Outbound,0 days 00:08:00,11099.55,480,83.246625
Victoria Street Station - Maitland Station,HUN,Outbound,0 days 00:05:00,4615.91,300,55.39092
Telarah Station - Maitland Station,HUN,Inbound,0 days 00:02:00,2270.59,120,68.1177
Maitland Station - High Street Station,HUN,Inbound,0 days 00:02:00,1185.85,120,35.5755
High Street Station - East Maitland Station,HUN,Inbound,0 days 00:03:00,2510.02,180,50.2004
East Maitland Station - Victoria Street Station,HUN,Inbound,0 days 00:02:00,919.09,120,27.5727
Beresfield Station - Tarro Station,HUN,Inbound,0 days 00:02:00,1530.04,120,45.9012
Tarro Station - Hexham Station,HUN,Inbound,0 days 00:03:00,2643.94,180,52.8788
Hexham Station - Sandgate Station,HUN,Inbound,0 days 00:04:00,5125.6,240,76.884
Sandgate Station - Warabrook Station,HUN,Inbound,0 days 00:03:00,1801.02,180,36.0204
Maitland Station - Telarah Station,HUN,Outbound,0 days 00:04:00,2275.18,240,34.1277
Telarah Station - Mindaribba Station,HUN,Outbound,0 days 00:08:00,8729.33,480,65.469975
Mindaribba Station - Paterson Station,HUN,Outbound,0 days 00:09:00,9696.15,540,64.641
Paterson Station - Martins Creek Station,HUN,Outbound,0 days 00:04:00,5325,240,79.875
Martins Creek Station - Hilldale Station,HUN,Outbound,0 days 00:07:00,7860.8,420,67.37828571
Hilldale Station - Wallarobba Station,HUN,Outbound,0 days 00:05:00,5255.17,300,63.06204
Wallarobba Station - Wirragulla Station,HUN,Outbound,0 days 00:07:00,6156.33,420,52.76854286
Wirragulla Station - Dungog Station,HUN,Outbound,0 days 00:07:00,7360.06,420,63.08622857
Dungog Station - Wirragulla Station,HUN,Inbound,0 days 00:05:00,7360.06,300,88.32072
Wirragulla Station - Wallarobba Station,HUN,Inbound,0 days 00:06:00,6156.33,360,61.5633
Wallarobba Station - Hilldale Station,HUN,Inbound,0 days 00:06:00,5255.17,360,52.5517
Hilldale Station - Martins Creek Station,HUN,Inbound,0 days 00:06:00,7860.8,360,78.608
Martins Creek Station - Paterson Station,HUN,Inbound,0 days 00:05:00,5325.01,300,63.90012
Paterson Station - Mindaribba Station,HUN,Inbound,0 days 00:08:00,9696.14,480,72.72105
Mindaribba Station - Telarah Station,HUN,Inbound,0 days 00:07:00,8729.33,420,74.82282857
Paterson Station - Telarah Station,HUN,Inbound,0 days 00:25:00,18424.37,1500,44.218488
Mount Victoria Station - Blackheath Station,BMT,Inbound,0 days 00:07:00,6074.2,420,52.06457143
Blackheath Station - Medlow Bath Station,BMT,Inbound,0 days 00:06:00,4829.99,360,48.2999
Medlow Bath Station - Katoomba Station,BMT,Inbound,0 days 00:06:00,5895.98,360,58.9598
Katoomba Station - Leura Station,BMT,Inbound,0 days 00:04:00,2373.33,240,35.59995
Leura Station - Wentworth Falls Station,BMT,Inbound,0 days 00:06:00,4882.35,360,48.8235
Wentworth Falls Station - Bullaburra Station,BMT,Inbound,0 days 00:06:00,4983.53,360,49.8353
Bullaburra Station - Lawson Station,BMT,Inbound,0 days 00:03:00,1624.05,180,32.481
Lawson Station - Hazelbrook Station,BMT,Inbound,0 days 00:03:00,2508.69,180,50.1738
Hazelbrook Station - Woodford Station,BMT,Inbound,0 days 00:04:00,3116.6,240,46.749
Woodford Station - Linden Station,BMT,Inbound,0 days 00:05:00,3550.69,300,42.60828
Linden Station - Faulconbridge Station,BMT,Inbound,0 days 00:05:00,3846.2,300,46.1544
Faulconbridge Station - Springwood Station,BMT,Inbound,0 days 00:04:00,3244.12,240,48.6618
Springwood Station - Valley Heights Station,BMT,Inbound,0 days 00:03:00,2301.14,180,46.0228
Valley Heights Station - Warrimoo Station,BMT,Inbound,0 days 00:04:00,3197.57,240,47.96355
Warrimoo Station - Blaxland Station,BMT,Inbound,0 days 00:04:00,2776.48,240,41.6472
Blaxland Station - Glenbrook Station,BMT,Inbound,0 days 00:05:00,4395.56,300,52.74672
Glenbrook Station - Lapstone Station,BMT,Inbound,0 days 00:04:00,3472.05,240,52.08075
Lapstone Station - Emu Plains Station,BMT,Inbound,0 days 00:06:00,6079.71,360,60.7971
Penrith Station - Blacktown Station,BMT,Inbound,0 days 00:16:00,20142.19,960,75.5332125
Blacktown Station - Penrith Station,BMT,Outbound,0 days 00:17:00,20142.38,1020,71.09075294
Emu Plains Station - Lapstone Station,BMT,Outbound,0 days 00:06:00,6077.47,360,60.7747
Lapstone Station - Glenbrook Station,BMT,Outbound,0 days 00:04:00,3475.11,240,52.12665
Glenbrook Station - Blaxland Station,BMT,Outbound,0 days 00:05:00,4398.17,300,52.77804
Blaxland Station - Warrimoo Station,BMT,Outbound,0 days 00:04:00,2772.98,240,41.5947
Warrimoo Station - Valley Heights Station,BMT,Outbound,0 days 00:04:00,3198.01,240,47.97015
Valley Heights Station - Springwood Station,BMT,Outbound,0 days 00:04:00,2284.84,240,34.2726
Springwood Station - Faulconbridge Station,BMT,Outbound,0 days 00:04:00,3244.32,240,48.6648
Faulconbridge Station - Linden Station,BMT,Outbound,0 days 00:05:00,3845.51,300,46.14612
Linden Station - Woodford Station,BMT,Outbound,0 days 00:05:00,3548.17,300,42.57804
Woodford Station - Hazelbrook Station,BMT,Outbound,0 days 00:04:00,3124.82,240,46.8723
Hazelbrook Station - Lawson Station,BMT,Outbound,0 days 00:04:00,2502.64,240,37.5396
Lawson Station - Bullaburra Station,BMT,Outbound,0 days 00:02:00,1618.4,120,48.552
Bullaburra Station - Wentworth Falls Station,BMT,Outbound,0 days 00:06:00,5000.37,360,50.0037
Wentworth Falls Station - Leura Station,BMT,Outbound,0 days 00:06:00,4880.7,360,48.807
Leura Station - Katoomba Station,BMT,Outbound,0 days 00:04:00,2383.97,240,35.75955
Katoomba Station - Medlow Bath Station,BMT,Outbound,0 days 00:07:00,5905.26,420,50.61651429
Medlow Bath Station - Blackheath Station,BMT,Outbound,0 days 00:06:00,4830.64,360,48.3064
Blackheath Station - Mount Victoria Station,BMT,Outbound,0 days 00:07:00,6075.69,420,52.07734286
Wentworth Falls Station - Hazelbrook Station,BMT,Inbound,0 days 00:10:00,9116.27,600,54.69762
Hazelbrook Station - Springwood Station,BMT,Inbound,0 days 00:15:00,13757.61,900,55.03044
Springwood Station - Blaxland Station,BMT,Inbound,0 days 00:09:00,8275.19,540,55.16793333
Glenbrook Station - Emu Plains Station,BMT,Inbound,0 days 00:10:00,9551.76,600,57.31056
Central Station - Parramatta Station,BMT,Outbound,0 days 00:25:00,23162.91,1500,55.590984
Westmead Station - Penrith Station,BMT,Outbound,0 days 00:20:00,29882.24,1200,89.64672
Penrith Station - Springwood Station,BMT,Outbound,0 days 00:24:00,24628.73,1440,61.571825
Springwood Station - Katoomba Station,BMT,Outbound,0 days 00:32:00,30148.9,1920,56.5291875
Katoomba Station - Mount Victoria Station,BMT,Outbound,0 days 00:18:00,16811.6,1080,56.03866667
Mount Victoria Station - Katoomba Station,BMT,Inbound,0 days 00:17:00,16800.17,1020,59.29471765
Katoomba Station - Springwood Station,BMT,Inbound,0 days 00:32:00,30129.56,1920,56.492925
Springwood Station - Penrith Station,BMT,Inbound,0 days 00:24:00,24648.48,1440,61.6212
Penrith Station - Westmead Station,BMT,Inbound,0 days 00:22:00,29851.74,1320,81.41383636
Parramatta Station - Central Station,BMT,Inbound,0 days 00:25:00,23494.46,1500,56.386704
Emu Plains Station - Glenbrook Station,BMT,Outbound,0 days 00:09:00,9552.58,540,63.68386667
Blaxland Station - Springwood Station,BMT,Outbound,0 days 00:09:00,8255.83,540,55.03886667
Springwood Station - Hazelbrook Station,BMT,Outbound,0 days 00:16:00,13762.82,960,51.610575
Hazelbrook Station - Wentworth Falls Station,BMT,Outbound,0 days 00:10:00,9121.41,600,54.72846
Lithgow Station - Rydal Station,BMT,Outbound,0 days 00:20:00,25557.3,1200,76.6719
Rydal Station - Tarana Station,BMT,Outbound,0 days 00:16:00,16900.42,960,63.376575
Tarana Station - Bathurst Station,BMT,Outbound,0 days 00:34:00,41632.65,2040,73.46938235
Bathurst Station - Tarana Station,BMT,Inbound,0 days 00:31:00,41632.65,1860,80.57932258
Tarana Station - Rydal Station,BMT,Inbound,0 days 00:16:00,16900.42,960,63.376575
Rydal Station - Lithgow Station,BMT,Inbound,0 days 00:21:00,25557.17,1260,73.02048571
Lithgow Station - Mount Victoria Station,BMT,Inbound,0 days 00:38:00,29087.21,2280,45.92717368
Mount Victoria Station - Lithgow Station,BMT,Outbound,0 days 00:25:00,29085.91,1500,69.806184
Lithgow Station - Zig Zag Station,BMT,Inbound,,,360,
Zig Zag Station - Bell Station,BMT,Inbound,,,780,
Bell Station - Mount Victoria Station,BMT,Inbound,,,540,
Dapto Station - Kembla Grange Station,SCO,Inbound,,,840,
Kembla Grange Station - Unanderra Station,SCO,Inbound,,,420,
Towradgi Station - Cringila Station,SCO,Outbound,,,840,
Cringila Station - Bellambi Station,SCO,Inbound,,,1080,
Towradgi Station - Cringila Station,SCO,Outbound,,,840,
Cringila Station - Bellambi Station,SCO,Inbound,,,1080,
Turrella Station - Sydenham Station,T8,Inbound,,,420,
St Peters Station - Central Station,T8,Inbound,,,480,
Blacktown Station - Westmead Station,BMT,Inbound,,,540,
Westmead Station - Blacktown Station,BMT,Outbound,,,540,
